point,geometry,type,wtd_m,links,length_m,elevation_m
GW_SideWadis_A7B2,POINT (209784.7332290156 1193751.965309685),Groundwater supply,16.590688705444336,Transmission Link from GW_SideWadis_A7B2 to AM_SZ09,48627.70859611059,427.0
GW_SideWadis_A7B2,POINT (209784.7332290156 1193751.965309685),Groundwater supply,16.590688705444336,Transmission Link from GW_SideWadis_A7B2 to AJ_Agriculture,9762.93247471622,427.0
GW_SideWadis_A7B2,POINT (209784.7332290156 1193751.965309685),Groundwater supply,16.590688705444336,Transmission Link from GW_SideWadis_A7B2 to IR_Koura,16282.288848219885,427.0
GW_SideWadis_A7B2,POINT (209784.7332290156 1193751.965309685),Groundwater supply,16.590688705444336,Transmission Link from GW_SideWadis_A7B2 to PL_WadiArab_Irbid 5,25103.257191772238,427.0
GW_SideWadis_A7B2,POINT (209784.7332290156 1193751.965309685),Groundwater supply,16.590688705444336,Transmission Link from GW_SideWadis_A7B2 to PL_WadiArab_Irbid 4,25013.082744518328,427.0
GW_SideWadis_A7B2,POINT (209784.7332290156 1193751.965309685),Groundwater supply,16.590688705444336,Transmission Link from GW_SideWadis_A7B2 to PL_WadiArab_Irbid 3,25657.116357227318,427.0
GW_SideWadis_A7B2,POINT (209784.7332290156 1193751.965309685),Groundwater supply,16.590688705444336,Transmission Link from GW_SideWadis_A7B2 to IR_Al Aghwar Sh,24764.449942534193,427.0
GW_SideWadis_A7B2,POINT (209784.7332290156 1193751.965309685),Groundwater supply,16.590688705444336,Transmission Link from GW_SideWadis_A7B2 to PL_WadiArab_Irbid 2,26297.136955602873,427.0
GW_SideWadis_A7B2,POINT (209784.7332290156 1193751.965309685),Groundwater supply,16.590688705444336,Transmission Link from GW_SideWadis_A7B2 to PL_WadiArab_Irbid,27076.283848527026,427.0
GW_SideWadis_A7B2,POINT (209784.7332290156 1193751.965309685),Groundwater supply,16.590688705444336,Transmission Link from GW_SideWadis_A7B2 to PL_BaniKinana,45256.92048410886,427.0
GW_SideWadis_Kurnub,POINT (210572.520910776 1167778.957725818),Groundwater supply,80.19284057617188,Transmission Link from GW_SideWadis_Kurnub to PS_ShJanoub,22830.61130436862,161.0
GW_SideWadis_Kurnub,POINT (210572.520910776 1167778.957725818),Groundwater supply,80.19284057617188,Transmission Link from GW_SideWadis_Kurnub to PS_SafutM_AbuNusair 2,20226.914582901056,161.0
GW_SideWadis_Kurnub,POINT (210572.520910776 1167778.957725818),Groundwater supply,80.19284057617188,Transmission Link from GW_SideWadis_Kurnub to PS_SafutM_AbuNusair,20613.048765759806,161.0
GW_SideWadis_Kurnub,POINT (210572.520910776 1167778.957725818),Groundwater supply,80.19284057617188,Transmission Link from GW_SideWadis_Kurnub to PS_DeirAllaDistrict,7521.2644567790085,161.0
GW_SideWadis_Kurnub,POINT (210572.520910776 1167778.957725818),Groundwater supply,80.19284057617188,Transmission Link from GW_SideWadis_Kurnub to PL_ToDeirAlla,8750.929768304228,161.0
GW_SideWadis_Kurnub,POINT (210572.520910776 1167778.957725818),Groundwater supply,80.19284057617188,Transmission Link from GW_SideWadis_Kurnub to PL_KACToZay,12663.377984992634,161.0
GW_SideWadis_Rum,POINT (222035.7485621498 1136457.828750598),Groundwater supply,55.732704162597656,Transmission Link from GW_SideWadis_Rum to PS_ZaraMain,2799.610946947093,284.0
GW_Sirhan_Kurnub,POINT (260927.0224605578 1171999.664436319),Groundwater supply,50.972293853759766,Transmission Link from GW_Sirhan_Kurnub to ZARQA_Ind_Nuclear,3344.0600315992033,590.0
GW_Southern Desert_Ram,POINT (219159.8322001184 881097.5450236206),Groundwater supply,4.302342414855957,Transmission Link from GW_Southern Desert_Ram to AQABA_Industry,61454.2680480774,821.0
GW_Southern Desert_Ram,POINT (219159.8322001184 881097.5450236206),Groundwater supply,4.302342414855957,Transmission Link from GW_Southern Desert_Ram to PL_Disi,14801.14475938139,821.0
GW_Southern Desert_Ram,POINT (219159.8322001184 881097.5450236206),Groundwater supply,4.302342414855957,Transmission Link from GW_Southern Desert_Ram to PL_DisiAqaba 2,17681.617719830818,821.0
GW_Southern Desert_Ram,POINT (219159.8322001184 881097.5450236206),Groundwater supply,4.302342414855957,Transmission Link from GW_Southern Desert_Ram to PL_DisiAqaba 3,19147.549378766424,821.0
GW_Southern Desert_Ram,POINT (219159.8322001184 881097.5450236206),Groundwater supply,4.302342414855957,Transmission Link from GW_Southern Desert_Ram to PL_RedDead,63026.093147816966,821.0
GW_Southern Desert_Ram,POINT (219159.8322001184 881097.5450236206),Groundwater supply,4.302342414855957,Transmission Link from GW_Southern Desert_Ram to PL_DisiAqaba,26444.40337774931,821.0
GW_Southern Desert_Ram,POINT (219159.8322001184 881097.5450236206),Groundwater supply,4.302342414855957,Transmission Link from GW_Southern Desert_Ram to AQ_Agri,30735.626555334366,821.0
GW_Yarmouk_A7B2,POINT (227543.2565784897 1223231.238570513),Groundwater supply,23.93345832824707,Transmission Link from GW_Yarmouk_A7B2 to PL_Ramtha,20753.499420963944,436.0
GW_Yarmouk_A7B2,POINT (227543.2565784897 1223231.238570513),Groundwater supply,23.93345832824707,Transmission Link from GW_Yarmouk_A7B2 to IR_Bani Obeid,13874.535974847207,436.0
GW_Yarmouk_A7B2,POINT (227543.2565784897 1223231.238570513),Groundwater supply,23.93345832824707,Transmission Link from GW_Yarmouk_A7B2 to PL_Yarmouk Wells Irbid,6213.038052335155,436.0
GW_Yarmouk_A7B2,POINT (227543.2565784897 1223231.238570513),Groundwater supply,23.93345832824707,Transmission Link from GW_Yarmouk_A7B2 to IR_AgriHL,7635.561774402573,436.0
