lon,lat,name,type
,,PS_UmRummaneh,pipeline
35.94856,32.09577,PS_UmRummaneh,pipeline
35.9316,32.09917,PS_UmRummaneh,pipeline
,,PS_UmRummaneh,pipeline
35.9316,32.09917,PS_UmRummaneh,pipeline
35.92349,32.09866,PS_UmRummaneh,pipeline
35.91616,32.10656,PS_UmRummaneh,pipeline
,,PS_UmRummaneh,pipeline
35.9316,32.09917,PS_UmRummaneh,pipeline
35.92349,32.09866,PS_UmRummaneh,pipeline
35.91616,32.10656,PS_UmRummaneh,pipeline
,,PS_UmRummaneh,pipeline
35.91616,32.10656,PS_UmRummaneh,pipeline
35.90696,32.10668,PS_UmRummaneh,pipeline
35.89983,32.10702,PS_UmRummaneh,pipeline
,,PS_UmRummaneh,pipeline
35.91616,32.10656,PS_UmRummaneh,pipeline
35.90696,32.10668,PS_UmRummaneh,pipeline
35.89983,32.10702,PS_UmRummaneh,pipeline
,,PS_UmRummaneh,pipeline
35.89983,32.10702,PS_UmRummaneh,pipeline
35.89459,32.10482,PS_UmRummaneh,pipeline
35.8912,32.09974,PS_UmRummaneh,pipeline
35.88284,32.093199999999996,PS_UmRummaneh,pipeline
35.88116,32.09283,PS_UmRummaneh,pipeline
35.87822,32.09172,PS_UmRummaneh,pipeline
35.87406,32.08917999999999,PS_UmRummaneh,pipeline
,,PS_UmRummaneh,pipeline
35.89983,32.10702,PS_UmRummaneh,pipeline
35.89459,32.10482,PS_UmRummaneh,pipeline
35.8912,32.09974,PS_UmRummaneh,pipeline
35.88284,32.093199999999996,PS_UmRummaneh,pipeline
35.88116,32.09283,PS_UmRummaneh,pipeline
35.87822,32.09172,PS_UmRummaneh,pipeline
35.87406,32.08917999999999,PS_UmRummaneh,pipeline
,,PS_UmRummaneh,pipeline
35.87406,32.08917999999999,PS_UmRummaneh,pipeline
35.86986,32.085180000000015,PS_UmRummaneh,pipeline
35.85965,32.07385,PS_UmRummaneh,pipeline
,,PS_UmRummaneh,pipeline
35.87406,32.08917999999999,PS_UmRummaneh,pipeline
35.86986,32.085180000000015,PS_UmRummaneh,pipeline
35.85965,32.07385,PS_UmRummaneh,pipeline
,,PS_UmRummaneh,pipeline
35.89983,32.10702,PL_BereinJarash,pipeline
35.89462,32.13921,PL_BereinJarash,pipeline
35.88522,32.21218,PL_BereinJarash,pipeline
35.88544,32.21771,PL_BereinJarash,pipeline
35.89632,32.233,PL_BereinJarash,pipeline
35.91586,32.26140000000001,PL_BereinJarash,pipeline
