point,geometry,type,links,length_m,elevation_m
ZA_Bereyn,POINT (239463.3307293679 1172536.743263992),Demand site,Transmission Link from GW_AmmanZarqa_A1A6 to ZA_Bereyn,15088.393283487252,640.0
ZA_Dulayl,POINT (279841.5808788209 1165829.905492506),Demand site,Transmission Link from PS_Halabat2ZA_Dulayl to ZA_Dulayl,3383.6032497457536,598.0
ZA_Hashmiyya,POINT (261885.3434711677 1173915.937965557),Demand site,Transmission Link from PL_ToKhaw2ZA_Hashmiyya to ZA_Hashmiyya,8185.61570990142,563.0
ZA_Hashmiyya,POINT (261885.3434711677 1173915.937965557),Demand site,Transmission Link from PS_QunayyaWell2ZA_Hashemiyya to ZA_Hashmiyya,8549.932305911312,563.0
ZA_Hashmiyya,POINT (261885.3434711677 1173915.937965557),Demand site,Transmission Link from Withdrawal Node 2 to ZA_Hashmiyya,5837.544544681828,563.0
ZA_Hashmiyya,POINT (261885.3434711677 1173915.937965557),Demand site,Transmission Link from GW_AmmanZarqa_A7B2 to ZA_Hashmiyya,23684.79141543781,563.0
ZA_Ind_OilShale,POINT (306676.1232710109 1142012.415091885),Demand site,Transmission Link from GW_Azraq_Kurnub to ZA_Ind_OilShale,6010.116262925699,596.0
ZA_Qasabat Zarqa,POINT (249421.2311275305 1165022.256381485),Demand site,Transmission Link from PS_AbuAlanda2ZA_QZarqa to ZA_Qasabat Zarqa,23145.21749939489,588.0
ZA_Qasabat Zarqa,POINT (249421.2311275305 1165022.256381485),Demand site,Transmission Link from PS_Awayan2ZA_QZarqa to ZA_Qasabat Zarqa,7435.880982734254,588.0
ZA_Qasabat Zarqa,POINT (249421.2311275305 1165022.256381485),Demand site,Transmission Link from PL_ToKhaw2ZA_QZarqa to ZA_Qasabat Zarqa,4313.207314704201,588.0
ZA_Qasabat Zarqa,POINT (249421.2311275305 1165022.256381485),Demand site,Transmission Link from PS Zarqa Outflow to ZA_Qasabat Zarqa,7753.369504445096,588.0
ZA_RC_Azraq,POINT (299224.1486909164 1147033.340564635),Demand site,Transmission Link from PL_ToKhaw2ZA_RC_Azraq to ZA_RC_Azraq,2025.512362193135,619.0
ZA_Rusaifa,POINT (247038.4016252136 1158621.500289868),Demand site,Transmission Link from PS_AlBasateen2ZA_Rusaifa to ZA_Rusaifa,2603.6288393631335,630.0
ZA_Rusaifa,POINT (247038.4016252136 1158621.500289868),Demand site,Transmission Link from PL_ToKhaw2ZA_Rusaifa to ZA_Rusaifa,3620.560185334324,630.0
